Part,Unit,Question,KL,CO,PO,PSO,Exam,QNo,Note
B,IV,List out and explain any 5 String Functions in Python.,K2,CO4,"PO1,PO3,PO6",PSO1,November 2024,17,
B,IV,Write about basic list operations with example.,K3,CO4,"PO2,PO3,PO5",PSO1,November 2023,17,
B,IV,Write about string comparison.,K2,CO4,"PO1,PO3",PSO1,April 2024,13,
C,IV,Explain Lists with suitable examples.,K3,CO4,"PO2,PO3,PO5",PSO1,April 2025,23,
C,IV,What is a list? Explain the basic list operations and methods.,K3,CO4,"PO2,PO3,PO5",PSO1,April 2024,23,
B,IV/V,Write difference between list and dictionary.,K2,CO4/CO5,"PO1,PO3",PSO1,November 2025,19,
A,V,Define Dictionary.,K1,CO5,PO1,PSO1,November 2024,8,
A,V,Define tuple.,K1,CO5,PO1,PSO1,April 2024,9,
A,V,How to create an element in dictionary?,K2,CO5,"PO2,PO3","PSO1,PSO2",April 2025,9,
A,V,What is dictionary?,K1,CO5,PO1,PSO1,April 2024,10,
A,V,What is Dictionary?,K1,CO5,PO1,PSO1,April 2025,7,
A,V,What is meant by tuple?,K1,CO5,PO1,PSO1,November 2024,9,
A,V,What is nested tuple?,K1,CO5,PO1,PSO1,November 2025,8,
A,V,Write types of tuple methods.,K1,CO5,PO1,PSO1,November 2023,8,
B,V,Explain about different tuple methods used in python.,K2,CO5,"PO1,PO3",PSO1,November 2025,16,
B,V,Explain Dictionaries and its related functions.,K2,CO5,"PO1,PO3",PSO1,April 2025,17,
B,V,How to Sort a Dictionary.,K3,CO5,"PO2,PO3,PO5",PSO1,November 2024,18,
B,V,What are the various operations performed on dictionary ? Explain.,K2,CO5,"PO1,PO3",PSO1,April 2024,18,
B,V,What is dictionary? How to create dictionary?,K2,CO5,"PO1,PO3",PSO1,November 2023,18,
C,V,"Describe briefly creating, Accessing, updating and deleting elements in a dictionary.",K3,CO5,"PO2,PO3,PO5","PSO1,PSO2",November 2025,23,
C,V,How to add and delete an element in dictionary.,K3,CO5,"PO2,PO3,PO5","PSO1,PSO2",November 2024,23,
C,V,"What is tuple? How to create, access and updating a tuple?",K3,CO5,"PO2,PO3,PO5",PSO1,November 2023,23,
